module,kind,name,fields,field_count,path
alarm,request,AcknowledgeAlarmRequest,"[{'type': 'String', 'name': 'alarmId'}, {'type': 'String', 'name': 'acknowledgedByActorId'}, {'type': 'String', 'name': 'acknowledgedByDisplayName'}, {'type': 'String', 'name': 'organizationUnitId'}, {'type': 'String', 'name': 'organizationUnitCode'}, {'type': 'String', 'name': 'comment'}, {'type': 'String', 'name': 'correlationId'}]",7,src/main/java/dz/sh/hidra/modules/alarm/api/rest/request/AcknowledgeAlarmRequest.java
alarm,request,CloseAlarmRequest,"[{'type': 'String', 'name': 'alarmId'}, {'type': 'AlarmClosureType', 'name': 'closureType'}, {'type': 'String', 'name': 'closureReasonId'}, {'type': 'String', 'name': 'closureComment'}, {'type': 'String', 'name': 'closedByActorId'}, {'type': 'boolean', 'name': 'requiresReview'}, {'type': 'String', 'name': 'reviewWorkflowInstanceId'}, {'type': 'String', 'name': 'correlationId'}]",8,src/main/java/dz/sh/hidra/modules/alarm/api/rest/request/CloseAlarmRequest.java
alarm,request,RaiseAlarmRequest,"[{'type': 'String', 'name': 'alarmNumber'}, {'type': 'String', 'name': 'alarmTypeId'}, {'type': 'String', 'name': 'severityId'}, {'type': 'String', 'name': 'priorityId'}, {'type': 'String', 'name': 'titleAr'}, {'type': 'String', 'name': 'titleFr'}, {'type': 'String', 'name': 'titleEn'}, {'type': 'String', 'name': 'descriptionAr'}, {'type': 'String', 'name': 'descriptionFr'}, {'type': 'String', 'name': 'descriptionEn'}, {'type': 'AlarmSourceType', 'name': 'sourceType'}, {'type': 'String', 'name': 'sourceReferenceId'}, {'type': 'String', 'name': 'monitoringAlertCandidateId'}, {'type': 'String', 'name': 'monitoringEvaluationId'}, {'type': 'String', 'name': 'telemetryReadingId'}, {'type': 'String', 'name': 'planningTargetId'}, {'type': 'String', 'name': 'topologyAssetTypeCode'}, {'type': 'String', 'name': 'topologyAssetId'}, {'type': 'String', 'name': 'topologyAssetCode'}, {'type': 'String', 'name': 'topologyAssetNameSnapshot'}, {'type': 'Instant', 'name': 'firstDetectedAt'}, {'type': 'String', 'name': 'owningOrganizationUnitId'}, {'type': 'String', 'name': 'owningOrganizationUnitCode'}, {'type': 'String', 'name': 'owningOrganizationUnitNameSnapshot'}, {'type': 'String', 'name': 'workflowInstanceId'}, {'type': 'String', 'name': 'correlationId'}]",26,src/main/java/dz/sh/hidra/modules/alarm/api/rest/request/RaiseAlarmRequest.java
alarm,request,package-info,[],0,src/main/java/dz/sh/hidra/modules/alarm/api/rest/request/package-info.java
alarm,response,AlarmResponse,"[{'type': 'String', 'name': 'id'}, {'type': 'String', 'name': 'alarmNumber'}, {'type': 'String', 'name': 'alarmTypeId'}, {'type': 'String', 'name': 'severityId'}, {'type': 'String', 'name': 'titleFr'}, {'type': 'AlarmSourceType', 'name': 'sourceType'}, {'type': 'String', 'name': 'topologyAssetTypeCode'}, {'type': 'String', 'name': 'topologyAssetId'}, {'type': 'String', 'name': 'topologyAssetCode'}, {'type': 'AlarmState', 'name': 'currentState'}, {'type': 'Instant', 'name': 'raisedAt'}, {'type': 'Instant', 'name': 'acknowledgedAt'}, {'type': 'Instant', 'name': 'closedAt'}]",13,src/main/java/dz/sh/hidra/modules/alarm/api/rest/response/AlarmResponse.java
alarm,response,package-info,[],0,src/main/java/dz/sh/hidra/modules/alarm/api/rest/response/package-info.java
analytics,request,CreateAnalyticsDatasetRequest,"[{'type': 'String', 'name': 'code'}, {'type': 'String', 'name': 'nameAr'}, {'type': 'String', 'name': 'nameFr'}, {'type': 'String', 'name': 'nameEn'}, {'type': 'String', 'name': 'subjectAreaId'}, {'type': 'AnalyticsDatasetType', 'name': 'datasetType'}, {'type': 'AnalyticsRefreshMode', 'name': 'refreshMode'}, {'type': 'String', 'name': 'schemaVersion'}, {'type': 'String', 'name': 'createdFrom'}]",9,src/main/java/dz/sh/hidra/modules/analytics/api/rest/request/CreateAnalyticsDatasetRequest.java
analytics,request,CreateAnalyticsInsightRequest,"[{'type': 'String', 'name': 'insightType'}, {'type': 'String', 'name': 'subjectAreaId'}, {'type': 'String', 'name': 'scopeType'}, {'type': 'String', 'name': 'scopeId'}, {'type': 'String', 'name': 'title'}, {'type': 'String', 'name': 'summary'}, {'type': 'String', 'name': 'severityId'}, {'type': 'BigDecimal', 'name': 'confidenceScore'}, {'type': 'String', 'name': 'sourceProjectionSnapshotId'}, {'type': 'String', 'name': 'sourceTrendAnalysisId'}, {'type': 'String', 'name': 'sourceModelRunId'}]",11,src/main/java/dz/sh/hidra/modules/analytics/api/rest/request/CreateAnalyticsInsightRequest.java
analytics,request,RunMetricEvaluationRequest,"[{'type': 'String', 'name': 'metricDefinitionVersionId'}, {'type': 'Instant', 'name': 'periodStart'}, {'type': 'Instant', 'name': 'periodEnd'}, {'type': 'String', 'name': 'scopeType'}, {'type': 'String', 'name': 'scopeId'}, {'type': 'String', 'name': 'correlationId'}]",6,src/main/java/dz/sh/hidra/modules/analytics/api/rest/request/RunMetricEvaluationRequest.java
analytics,request,RunProjectionRequest,"[{'type': 'String', 'name': 'projectionDefinitionId'}, {'type': 'AnalyticsRunMode', 'name': 'runMode'}, {'type': 'Instant', 'name': 'periodStart'}, {'type': 'Instant', 'name': 'periodEnd'}, {'type': 'String', 'name': 'correlationId'}]",5,src/main/java/dz/sh/hidra/modules/analytics/api/rest/request/RunProjectionRequest.java
